Item Name,Total,Gear Level 1,Gear Level 2,Gear Level 3,Gear Level 4,Gear Level 5,Gear Level 6,Gear Level 7,Gear Level 8,Gear Level 9,Gear Level 10,Gear Level 11,Gear Level 12
Mk 7 Merr-Sonn Shield Generator Salvage,50,"","","","","","","","","","",50,""
Mk 7 Chiewab Hypo Syringe Salvage,40,"","","","","","","","","","","",40
Mk 8 BlasTech Weapon Mod Prototype Salvage,20,"","","","","",20,"","","","","",""
Mk 8 BioTech Implant Component,50,"","","","","","","","","","",50,""
Mk 8 BioTech Implant Salvage,60,"","","","","","","","","","",60,""
Mk 8 Nubian Security Scanner Salvage,40,"","","","","","","","","","","",40
Mk 8 Nubian Design Tech Salvage,40,"","","","","","","","","","","",40
Mk 9 Fabritech Data Pad Component,50,"","","","","","","","","","",50,""
Mk 9 Fabritech Data Pad Salvage,60,"","","","","","","","","","",60,""
Mk 10 BlasTech Weapon Mod Salvage,50,"","","","","","","","","",50,"",""
Mk 10 BlasTech Weapon Mod Component,50,"","","","","","","","","",50,"",""
Mk 12 ArmaTek Bayonet Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Multi-tool Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Tactical Data Prototype Salvage,30,"","","","","","","","","","","",30
