Item Name,Total,Gear Level 1,Gear Level 2,Gear Level 3,Gear Level 4,Gear Level 5,Gear Level 6,Gear Level 7,Gear Level 8,Gear Level 9,Gear Level 10,Gear Level 11,Gear Level 12
Mk 5 BlasTech Weapon Mod Prototype,16,"","","","","","","","","",12,4,""
Mk 5 A/KT Stun Gun Prototype Salvage,100,"","","","","","","","","",50,50,""
Mk 5 Merr-Sonn Thermal Detonator Prototype Salvage,50,"","","","","","","","","","",50,""
Mk 6 BioTech Implant Prototype Salvage,40,"","","","","",20,"","",20,"","",""
Mk 6 Neuro-Saav Electrobinoculars Prototype Salvage,5,"","","","","",5,"","","","","",""
Mk 6 Loronar Power Cell Salvage,5,"","","","","","","",5,"","","",""
Mk 6 Merr-Sonn Thermal Detonator Salvage,100,"","","","","","","","","",50,50,""
Mk 6 CEC Fusion Furnace Salvage,50,"","","","","","","","","",50,"",""
Mk 6 Athakam Medpac Salvage,40,"","","","","","","","","","","",40
Mk 6 Carbanti Sensor Array Salvage,40,"","","","","","","","","","","",40
Mk 7 BAW Armor Mod Prototype Salvage,5,"","","","",5,"","","","","","",""
Mk 7 BioTech Implant Prototype Salvage,50,"","","","","","","",50,"","","",""
MK 7 BlasTech Weapon Mod Prototype Salvage,5,"","","","","","","",5,"","","",""
Mk 7 Nubian Security Scanner Salvage,50,"","","","","","","","","",50,"",""
Mk 7 Merr-Sonn Shield Generator Salvage,50,"","","","","","","","","","",50,""
MK 8 Neuro-Saav Electrobinoculars Salvage,50,"","","","","","","","","",50,"",""
MK 8 Neuro-Saav Electrobinoculars Component,50,"","","","","","","","","",50,"",""
Mk 8 BioTech Implant Component,50,"","","","","","","","","","",50,""
Mk 8 BioTech Implant Salvage,60,"","","","","","","","","","",60,""
Mk 8 Nubian Security Scanner Salvage,40,"","","","","","","","","","","",40
Mk 9 Neuro-Saav Electrobinoculars Salvage,50,"","","","","","","","","","",50,""
Mk 12 ArmaTek Medpac Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Multi-tool Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Wrist Band Prototype Salvage,30,"","","","","","","","","","","",30
