Item Name,Total,Gear Level 1,Gear Level 2,Gear Level 3,Gear Level 4,Gear Level 5,Gear Level 6,Gear Level 7,Gear Level 8,Gear Level 9,Gear Level 10,Gear Level 11,Gear Level 12
Mk 2 Neuro-Saav Electrobinoculars Prototype,20,"","","","","","","","","",16,4,""
Mk 2 BAW Armor Mod Prototype,8,"","","","","","","","","","",8,""
Mk 3 TaggeCo Holo Lens Prototype,1,"",1,"","","","","","","","","",""
Mk 3 BioTech Implant,8,"","",3,1,1,2,"","","",1,"",""
Mk 3 BlasTech Weapon Mod,6,"","",1,1,"",2,"","","",1,1,""
Mk 3 Chiewab Hypo Syringe Prototype Salvage,5,"","","",5,"","","","","","","",""
Mk 3 Arakyd Droid Caller Salvage,15,"","","",5,"",10,"","","","","",""
Mk 3 Neuro-Saav Electrobinoculars,1,"","","","","","",1,"","","","",""
Mk 3 Sienar Holo Projector Salvage,80,"","","","","","",60,"",20,"","",""
Mk 3 Carbanti Sensor Array Salvage,200,"","","","","","",50,50,100,"","",""
Mk 3 Chedak Comlink Prototype Salvage,20,"","","","","","","",20,"","","",""
Mk 3 Czerka Stun Cuffs Salvage,300,"","","","","","","",100,100,50,50,""
Mk 3 BAW Armor Mod,1,"","","","","","","","",1,"","",""
Mk 3 Zaltin Bacta Gel Salvage,50,"","","","","","","","","","",50,""
Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,40,"","","","","","","","","","",40,""
Mk 4 BAW Armor Mod Salvage,45,"","",5,10,15,5,5,"",5,"","",""
Mk 4 Fabritech Data Pad Prototype,5,"","","",1,1,1,1,"",1,"","",""
Mk 4 Loronar Power Cell Prototype,1,"","","","",1,"","","","","","",""
Mk 4 SoroSuub Keypad Salvage,100,"","","","","",20,40,"","",20,20,""
Mk 4 Nubian Security Scanner Prototype Salvage,10,"","","","","","","",5,"",5,"",""
Mk 4 Chiewab Hypo Syringe Prototype Salvage,20,"","","","","","","",20,"","","",""
Mk 4 Arakyd Droid Caller Salvage,40,"","","","","","","",20,"",20,"",""
Mk 4 A/KT Stun Gun Salvage,40,"","","","","","","","","",20,20,""
Mk 4 Sienar Holo Projector Salvage,50,"","","","","","","","","",50,"",""
Mk 4 TaggeCo Holo Lens Salvage,5,"","","","","","","","","","",5,""
Mk 4 Chedak Comlink Prototype Salvage,50,"","","","","","","","","","",50,""
Mk 4 Zaltin Bacta Gel Salvage,50,"","","","","","","","","","",50,""
Mk 5 BAW Armor Mod Salvage,20,"","","",10,"","","",5,"",5,"",""
Mk 5 Loronar Power Cell Salvage,65,"","","",5,"","","","",20,"",40,""
Mk 5 BioTech Implant Prototype,3,"","","",1,"",2,"","","","","",""
Mk 5 TaggeCo Holo Lens Prototype Salvage,5,"","","","",5,"","","","","","",""
Mk 5 Neuro-Saav Electrobinoculars Salvage,20,"","","","",5,"","",5,"",10,"",""
Mk 5 SoroSuub Keypad Salvage,60,"","","","","","",20,20,"",20,"",""
Mk 5 Fabritech Data Pad,1,"","","","","","",1,"","","","",""
Mk 5 Chiewab Hypo Syringe Prototype Salvage,20,"","","","","","","",20,"","","",""
Mk 5 Arakyd Droid Caller Salvage,50,"","","","","","","","",50,"","",""
Mk 5 Merr-Sonn Thermal Detonator Prototype Salvage,50,"","","","","","","","",50,"","",""
Mk 5 BlasTech Weapon Mod Prototype,20,"","","","","","","","","",16,4,""
Mk 5 Nubian Design Tech Prototype Salvage,20,"","","","","","","","","","",20,""
Mk 6 TaggeCo Holo Lens Prototype Salvage,5,"","","","",5,"","","","","","",""
Mk 6 Fabritech Data Pad Salvage,10,"","","","","",10,"","","","","",""
Mk 6 Nubian Security Scanner Prototype Salvage,20,"","","","","","","","","",20,"",""
Mk 6 Neuro-Saav Electrobinoculars Prototype Salvage,5,"","","","","","","","","",5,"",""
Mk 6 Chiewab Hypo Syringe Salvage,50,"","","","","","","","","","",50,""
Mk 7 Nubian Security Scanner Salvage,100,"","","","","","","","","",100,"",""
Mk 7 Merr-Sonn Shield Generator Salvage,50,"","","","","","","","","",50,"",""
Mk 7 Nubian Design Tech Salvage,40,"","","","","","","","","","","",40
Mk 7 Chiewab Hypo Syringe Salvage,40,"","","","","","","","","","","",40
Mk 8 BlasTech Weapon Mod Prototype Salvage,20,"","","","","",20,"","","","","",""
Mk 8 Nubian Security Scanner Salvage,40,"","","","","","","","","","","",40
Mk 9 BioTech Implant Salvage,50,"","","","","","","","","","",50,""
Mk 9 Fabritech Data Pad Component,100,"","","","","","","","","","",100,""
Mk 9 Fabritech Data Pad Salvage,120,"","","","","","","","","","",120,""
Mk 10 TaggeCo Holo Lens Salvage,100,"","","","","","","","","",50,50,""
Mk 12 ArmaTek Armor Plating Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Multi-tool Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Bayonet Prototype Salvage,30,"","","","","","","","","","","",30
